date_key,full_date,day,month,month_name,quarter,year,day_of_week,is_weekend
20060314,2006-03-14,14,3,March,1,2006,Tuesday,0
20060315,2006-03-15,15,3,March,1,2006,Wednesday,0
20060316,2006-03-16,16,3,March,1,2006,Thursday,0
20060317,2006-03-17,17,3,March,1,2006,Friday,0
20060318,2006-03-18,18,3,March,1,2006,Saturday,1
20060319,2006-03-19,19,3,March,1,2006,Sunday,1
20060320,2006-03-20,20,3,March,1,2006,Monday,0
20060321,2006-03-21,21,3,March,1,2006,Tuesday,0
20060322,2006-03-22,22,3,March,1,2006,Wednesday,0
20060323,2006-03-23,23,3,March,1,2006,Thursday,0
20060324,2006-03-24,24,3,March,1,2006,Friday,0
20060325,2006-03-25,25,3,March,1,2006,Saturday,1
20060326,2006-03-26,26,3,March,1,2006,Sunday,1
20060327,2006-03-27,27,3,March,1,2006,Monday,0
20060328,2006-03-28,28,3,March,1,2006,Tuesday,0
20060329,2006-03-29,29,3,March,1,2006,Wednesday,0
20060330,2006-03-30,30,3,March,1,2006,Thursday,0
20060331,2006-03-31,31,3,March,1,2006,Friday,0
20060401,2006-04-01,1,4,April,2,2006,Saturday,1
20060402,2006-04-02,2,4,April,2,2006,Sunday,1
20060403,2006-04-03,3,4,April,2,2006,Monday,0
20060404,2006-04-04,4,4,April,2,2006,Tuesday,0
20060405,2006-04-05,5,4,April,2,2006,Wednesday,0
20060406,2006-04-06,6,4,April,2,2006,Thursday,0
20060407,2006-04-07,7,4,April,2,2006,Friday,0
20060408,2006-04-08,8,4,April,2,2006,Saturday,1
20060409,2006-04-09,9,4,April,2,2006,Sunday,1
20060410,2006-04-10,10,4,April,2,2006,Monday,0
20060411,2006-04-11,11,4,April,2,2006,Tuesday,0
20060412,2006-04-12,12,4,April,2,2006,Wednesday,0
20060413,2006-04-13,13,4,April,2,2006,Thursday,0
20060414,2006-04-14,14,4,April,2,2006,Friday,0
20060415,2006-04-15,15,4,April,2,2006,Saturday,1
20060416,2006-04-16,16,4,April,2,2006,Sunday,1
20060417,2006-04-17,17,4,April,2,2006,Monday,0
20060418,2006-04-18,18,4,April,2,2006,Tuesday,0
20060419,2006-04-19,19,4,April,2,2006,Wednesday,0
20060420,2006-04-20,20,4,April,2,2006,Thursday,0
